paper_id,title,primary_category,categories,year_month,singularized_abstract
2301.02657v1,TarViS: A Unified Approach for Target-based Video Segmentation,cs.CV,cs.CV cs.AI cs.LG,2023-01,"general domain video segmentation currently fragmented different task spanning multiple benchmarks. Despite rapid progres state-of-the art, current method overwhelmingly task-specific cannot conceptually generalize tasks. Inspired recent approach multi-task capability, propose TarViS: novel, unified network architecture applied task require segmenting set arbitrarily defined 'targets' video. approach flexible respect task define targets, since model latter abstract 'queries' used predict pixel-precise target masks. single TarVi model trained jointly collection dataset spanning different tasks, hot-swap task inference without task-specific retraining. demonstrate effectiveness, apply TarVi four different tasks, namely Video Instance Segmentation (VIS), Video Panoptic Segmentation (VPS), Video Object Segmentation (VOS) Point Exemplar-guided Tracking (PET). unified, jointly trained model achieve state-of-the art performance 5/7 benchmark spanning four tasks, competitive performance remaining two."
2301.02642v1,Triple-stream Deep Metric Learning of Great Ape Behavioural Actions,cs.CV,cs.CV cs.AI cs.LG,2023-01,"propose first metric learning system recognition great ape behavioural actions. proposed triple stream embedding architecture work camera trap video taken directly wild demonstrate utilisation explicit DensePose-C chimpanzee body part segmentation stream effectively complement traditional RGB appearance optical flow streams. evaluate system variant different feature fusion technique long-tail recognition approaches. Result ablation show performance improvement ~12% top-1 accuracy previou result achieved PanAf-500 dataset containing 180,000 manually annotated frame acros nine behavioural actions. Furthermore, provide qualitative analysi finding augment metric learning system long-tail recognition technique showing average per clas accuracy -- critical domain -- improved ~23% compared literature dataset. Finally, since embedding space constructed metric, provide first data-driven visualisation great ape behavioural action space revealing emerging geometry topology. hope work spark interest vital application area computer vision benefit endangered great apes."
2301.02610v1,Feedback-Gated Rectified Linear Units,cs.NE,cs.NE cs.AI,2023-01,"Feedback connection play prominent role human brain received much attention artificial neural network research. Here, biologically inspired feedback mechanism gate rectified linear unit proposed. MNIST dataset, autoencoder feedback show faster convergence, better performance, robustnes noise compared counterpart without feedback. benefits, although les pronounced les consistent, observed network feedback applied CIFAR-10 dataset."
2301.02593v1,Multi-Agent Reinforcement Learning for Fast-Timescale Demand Response of Residential Loads,cs.MA,cs.MA cs.AI cs.LG cs.SY,2023-01,"integrate high amount renewable energy resources, electrical power grid must able cope high amplitude, fast timescale variation power generation. Frequency regulation demand response potential coordinate temporally flexible loads, air conditioners, counteract variations. Existing approach discrete control dynamic constraint struggle provide satisfactory performance fast timescale action selection hundred agents. propose decentralized agent trained multi-agent proximal policy optimization localized communication. explore two communication frameworks: hand-engineered, learned targeted multi-agent communication. resulting policy perform well robustly frequency regulation, scale seamlessly arbitrary number house constant processing times."
2301.02561v1,Multi-Vehicle Trajectory Prediction at Intersections using State and Intention Information,cs.RO,cs.RO cs.AI,2023-01,"Traditional approach prediction future trajectory road agent rely knowing information past trajectory. work rather rely knowledge current state intended direction make prediction multiple vehicle intersections. Furthermore, message passing information vehicle provide one holistic overview environment allowing informed prediction. done training neural network take state intent multiple vehicle predict future trajectory. Using intention input allow approach extended additionally control multiple vehicle drive toward desired paths. Experimental result demonstrate robustnes approach term trajectory prediction vehicle control intersections. complete training evaluation code work available here: \url{https://github.com/Dekai21/Multi_Agent_Intersection}."
2301.02555v1,"""No, to the Right"" -- Online Language Corrections for Robotic Manipulation via Shared Autonomy",cs.RO,cs.RO cs.AI cs.CL cs.HC cs.LG,2023-01,"System language-guided human-robot interaction must satisfy two key desideratum broad adoption: adaptivity learning efficiency. Unfortunately, existing instruction-following agent cannot adapt, lacking ability incorporate online natural language supervision, even could, require hundred demonstration learn even simple policies. work, addres problem presenting Language-Informed Latent Action Correction (LILAC), framework incorporating adapting natural language correction - ""to right,"" ""no, toward book"" - online, execution. explore rich manipulation domain within shared autonomy paradigm. Instead discrete turn-taking human robot, LILAC split agency human robot: language input learned model produce meaningful, low-dimensional control space human use guide robot. real-time correction refine human' control space, enabling precise, extended behavior - added benefit requiring handful demonstration learn. evaluate approach via user study user work Franka Emika Panda manipulator complete complex manipulation tasks. Compared existing learned baseline covering open-loop instruction following single-turn shared autonomy, show corrections-aware approach obtain higher task completion rates, subjectively preferred user reliability, precision, ease use."
2301.02521v1,SAIDS: A Novel Approach for Sentiment Analysis Informed of Dialect and Sarcasm,cs.CL,cs.CL cs.AI,2023-01,"Sentiment analysi become essential part every social network, enable decision-maker know users' opinion almost life aspects. Despite importance, multiple issue encounter like sentiment sarcastic text one main challenge sentiment analysis. paper tackle challenge introducing novel system (SAIDS) predict sentiment, sarcasm dialect Arabic tweets. SAID use prediction sarcasm dialect known information predict sentiment. use MARBERT language model generate sentence embedding, pass sarcasm dialect models, output three model concatenated passed sentiment analysi model. Multiple system design setup experimented reported. SAID applied ArSarcasm-v2 dataset outperform state-of-the art model sentiment analysi task. training task together, SAID achieve result 75.98 FPN, 59.09 F1-score 71.13 F1-score sentiment analysis, sarcasm detection, dialect identification respectively. system design used enhance performance task dependent tasks."
2301.02515v1,GNN-based Passenger Request Prediction,cs.LG,cs.LG cs.AI,2023-01,"Passenger request prediction essential operation planning, control, management ride-sharing platforms. demand prediction problem studied extensively, Origin-Destination (OD) flow prediction passenger received les attention research community. paper develop Graph Neural Network framework along Attention Mechanism predict OD flow passengers. proposed framework exploit variou linear non-linear dependency arise among request originating different location capture repetition pattern contextual datum place. Moreover, optimal size grid cell cover road network preserve complexity accuracy model determined. Extensive simulation conducted examine characteristic proposed approach variou components. result show superior performance proposed model compared existing baselines."
2301.02494v1,Task Aware Feature Extraction Framework for Sequential Dependence Multi-Task Learning,cs.LG,cs.LG cs.AI,2023-01,"Multi-task learning (MTL) successfully implemented many real-world applications, aim simultaneously solve multiple task single model. general idea multi-task learning designing kind global parameter sharing mechanism task-specific feature extractor improve performance tasks. However, sequential dependence task rarely studied frequently encountered e-commence online recommendation, e.g. impression, click conversion displayed product. theoretical work problem biased optimization object adopted MTL method deteriorate online performance. Besides, challenge still remain balancing trade-off variou task effectively learn common specific representation. paper, first analyze sequential dependence MTL rigorou mathematical perspective design dependence task learning los provide unbiased optimizing object. propose Task Aware Feature Extraction (TAFE) framework sequential dependence MTL, enable selectively reconstruct implicit shared representation sample-wise view extract explicit task-specific information efficient way. Extensive experiment offline dataset online A/B implementation demonstrate effectivenes proposed TAFE."
2301.02464v1,"Architect, Regularize and Replay (ARR): a Flexible Hybrid Approach for Continual Learning",cs.LG,cs.LG cs.AI cs.CV cs.NE,2023-01,"recent year witnessed renewed interest machine learning methodologies, especially deep representation learning, could overcome basic i.i.d. assumption tackle non-stationary environment subject variou distributional shift sample selection biases. Within context, several computational approach based architectural priors, regularizer replay policy proposed different degree succes depending specific scenario developed assessed. However, designing comprehensive hybrid solution flexibly generally applied tunable efficiency-effectivenes trade-off still seem distant goal. paper, propose ""Architect, Regularize Replay"" (ARR), hybrid generalization renowned AR1 algorithm variants, achieve state-of-the art result classic scenario (e.g. class-incremental learning) also generalize arbitrary datum stream generated real-world dataset CIFAR-100, CORe50 ImageNet-1000."
2301.02462v1,Measuring a Priori Voting Power -- Taking Delegations Seriously,cs.MA,cs.MA cs.AI cs.CC,2023-01,"paper, introduce new power indice measure criticality voter involved different election delegation play key role, namely, two variant proxy voting setting liquid democracy setting. First, argue power indice natural extension Penrose-Banzhaf index classic simple voting games, illustrating intuitions. show recursive formula compute indice weighted voting game pseudo-polynomial time. Last, highlight theoretical property provide numerical result illustrate introducing delegation option modify voting power voters."
